"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Alonso Martinez - Plaza Santa Barbara 5","","Plaza Santa Barbara 5","Madrid","28004","Plaza Santa Barbara 5","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","14.02.2019","13.08.2021","Emplazamiento introducido","50%","50%","50%","01.10.2020","28.02.2021","Ramon, Silvia","12.06.2019 Carranza, Laura (Dev Note): I went by. Property manager has not been there yet. Concierge will give him my visit card, as she is not allow to give me his contact","0.000000","0.000000"
"Alonso Martínez 3","","Alonso Martinez 3","Madrid","28001","","Andamio","","","","","267,932.00 €","250,000.00 €","10,588.00 €","644,219.00 €","173,079.00 €","B","15.03.2016","12.12.2016","Perdido ante la competencia","50%","100%","50%","01.11.2016","30.04.2017","Carranza, Laura","","0.000000","0.000000"
"Alonso Martínez 6","","Alonso Martínez 6","Madrid","28001","","Andamio","","","","","187,835.29 €","175,000.00 €","8,235.29 €","517,374.98 €","173,474.98 €","A","05.05.2015","19.05.2016","Perdido ante la competencia","75%","50%","50%","01.04.2016","30.09.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alonso Martínez 7","","Plaza Alonso Martínez 7/Genova","Madrid","28010","Alonso Martínez 7","Andamio","","","","","161,763.00 €","147,058.00 €","14,705.00 €","291,541.45 €","132,763.65 €","A","04.10.2007","08.07.2009","Contrato firmado","100%","","","01.07.2009","31.10.2010","Arrogante, Juanjo Martinez","","40.427470","-3.695189"
"Alonso Martínez 7 2014","","Plaza Alonso Martínez 7/Calle Génova","Madrid","01","Calle Génova","Andamio","","","","","174,795.59 €","150,000.00 €","16,470.59 €","303,225.00 €","108,150.00 €","A","28.03.2014","09.03.2015","Contrato firmado","100%","50%","50%","01.10.2015","31.01.2016","Arrogante, Juanjo Martinez","09.07.2014 Arrogante, Juanjo Martinez (): llamar Rosana","40.427581","-3.695143"
"Antic de San Joan 2","","Antic de San Joan 2","Barcelona","08003","Carrer Antic de San Joan 2","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","13.11.2023","14.11.2023","Emplazamiento introducido","75%","75%","75%","01.12.2023","30.04.2024","Canela, Miguel","","41.000000","21.000000"
"Antonia Mercé 5","","Antonia Mercé 5","Madrid","28009","Antonia Mercé 5","Andamio","Siglo XXI","","607961159","info@siglo21.es","215,826.00 €","190,000.00 €","15,426.00 €","213,138.00 €","93,889.60 €","B","06.04.2021","08.09.2021","Contrato firmado","100%","50%","50%","18.10.2021","18.03.2022","Carranza, Laura","","40.424226","-3.673524"
"ANTONIO LOPEZ 139","","ANTONIO LOPEZ 139","Madrid","28000","ANTONIO LOPEZ 139","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","06.07.2022","06.07.2022","Emplazamiento introducido","50%","50%","50%","15.07.2022","15.09.2022","Carranza, Laura","","0.000000","0.000000"
"Aragó 194","","Aragó 194","Barcelona","08036","","Andamio","Nuñez y Navarro","Mireia Vizcaya","93 363 69 50","mvizcaya@nyn.es","121,719.88 €","90,000.00 €","24,705.88 €","65,139.00 €","18,780.00 €","C","19.05.2017","30.06.2017","Perdido ante la competencia","50%","50%","100%","01.09.2017","28.02.2018","Ramon, Silvia","","41.387340","2.158803"
"Aragó 212 / Aribau","","Aragó 212 / Aribau","Barcelona","08011","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","231,608.47 €","195,000.00 €","25,336.47 €","376,932.00 €","149,144.00 €","B","12.09.2019","21.04.2022","Perdido ante la competencia","50%","50%","100%","01.12.2021","31.05.2022","Ramon, Silvia","21.04.2022 Canela, Miguel (Others): FIRMADO POR VSA","0.000000","0.000000"
"Aragó 257","","Aragó 257","Barcelona","08008","","Andamio","","","","","114,072.82 €","100,000.00 €","7,058.82 €","61,764.00 €","48,250.00 €","C","02.12.2016","31.10.2017","Negociaciones interrumpidas","50%","50%","100%","01.02.2018","31.07.2018","Ramon, Silvia","","41.391436","2.164280"
"Aragó 266","","Aragó 266","Barcelona","08007","","Andamio","","","","","88,484.58 €","75,000.00 €","6,470.58 €","97,027.99 €","34,984.99 €","C","23.02.2017","25.07.2017","Contrato firmado","100%","50%","100%","01.01.2018","30.04.2018","Ramon, Silvia","","41.391199","2.164012"
"Aragó 271","","Aragó 271 / Pº Gracia","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","13.06.2014","13.03.2015","Negociaciones interrumpidas","25%","25%","100%","01.09.2014","28.02.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Aragó 277","","Aagó 277","Barcelona","08007","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","22.09.2017","31.10.2017","Negociaciones interrumpidas","50%","50%","100%","01.09.2017","31.12.2017","Ramon, Silvia","","41.393109","2.165872"
"Aragó 282","","Aragó 282","Barcelona","08008","Carrer Arago 282","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","1,000.00 €","0.00 €","1,000.00 €","0.00 €","-75,000.00 €","B","09.02.2021","14.02.2023","Negociaciones iniciadas","50%","75%","75%","01.09.2023","31.12.2023","Canela, Miguel","","0.000000","0.000000"
"Aragó 295 /Roger Llúria","","Aragó 295 / Roger de Llúria","Barcelona","08009","","Andamio","Allianz","Carmen Galvez","915968841","angel.carrasco@allianz.es","180,566.11 €","150,000.00 €","19,294.11 €","272,015.98 €","94,590.00 €","B","31.05.2018","29.08.2018","Contrato firmado","100%","50%","75%","01.08.2018","15.01.2019","Ramon, Silvia","","41.394190","2.166922"
"Aragó 321","","Aragó 321","Barcelona","08010","","Andamio","","","","","47,058.82 €","40,000.00 €","7,058.82 €","57,536.47 €","49,186.47 €","C","30.05.2011","14.02.2012","Negociaciones interrumpidas","50%","","","01.10.2011","29.02.2012","Ramon, Silvia","","0.000000","0.000000"
"Aragó 370 / Ps. Sant Joan","","Aragó 370 / Ps. Sant Joan","Barcelona","08009","","Andamio","BASMI","Linda Marmol","93-2154560","linda@basmifinques.com","0.00 €","0.00 €","0.00 €","0.00 €","-51,499.98 €","B","14.05.2020","06.04.2021","Perdido ante la competencia","50%","50%","75%","01.09.2021","28.02.2022","Ramon, Silvia","","41.397352","2.171962"
"Aragó 393","","Aragó 393","Barcelona","08008","","Andamio","AXIS","Marta Cervelló","93-1054240","marta@axispatrimoni.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","06.08.2013","27.06.2014","Negociaciones interrumpidas","50%","75%","100%","01.05.2014","31.10.2014","Ramon, Silvia","","0.000000","0.000000"
"Aragón 218","","Aragó 218","Barcelona","08037","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","18.06.2012","21.01.2014","Negociaciones interrumpidas","50%","25%","100%","01.07.2012","30.11.2012","Ramon, Silvia","","0.000000","0.000000"
"Aragón 225 / Balmes","","Aragón 225 / Balmes","Barcelona","08007","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","220,000.00 €","220,000.00 €","0.00 €","74,800.00 €","22,800.00 €","C","08.10.2020","02.12.2020","Contrato firmado","100%","75%","100%","01.12.2020","31.12.2020","Ramon, Silvia","","0.000000","0.000000"
"Aragón 259","","Aragón, 259","Barcelona","08007","","Andamio","","","","","96,470.00 €","88,235.00 €","8,235.00 €","62,705.50 €","58,015.50 €","C","21.06.2007","09.10.2007","Contrato firmado","100%","","","16.06.2008","28.02.2009","Morata, Rosi","","0.000000","0.000000"
"Aragón 264 / Rambla Catalunya","","Aragón 264 / Rambla Catalunya","Barcelona","08007","","Andamio","Allianz","Angel Carrasco","915968841","angel.carrasco@allianz.es","208,719.88 €","180,000.00 €","21,705.88 €","317,855.99 €","74,061.83 €","A","27.02.2019","18.06.2019","Contract pending","100%","50%","75%","01.07.2019","31.12.2019","Ramon, Silvia","18.06.2019 Ramon, Silvia (Dev Note): We get Ströer approval. Waiting to contact the owners","41.391414","2.163919"
"Aragón 284","","Aragón 284","Barcelona","08009","Aragón 284","Andamio","","","","","71,764.70 €","64,705.88 €","7,058.82 €","40,338.23 €","35,813.73 €","B","01.10.2009","21.10.2009","Contrato firmado","100%","","","01.12.2009","09.08.2010","Ramon, Silvia","","0.000000","0.000000"
"Aragón 284 bis","","Aragón 284 bis","Barcelona","08008","","Andamio","Francesc Serra","","606419193","serrabcn@me.com","100,837.53 €","85,000.00 €","8,823.53 €","167,854.50 €","61,497.50 €","C","19.07.2013","28.01.2016","Contrato firmado","100%","75%","100%","15.03.2016","31.08.2016","Ramon, Silvia","","41.392597","2.165814"
"Áragón 284bis - 2019","","Aragón 284bis","Barcelona","08007","","Andamio","GTA","Yolanda Bravo","93-4251525","yolanda@gtaeuropa.com","195,955.17 €","180,000.00 €","8,941.17 €","110,227.99 €","43,570.91 €","B","01.04.2019","15.07.2019","Negociaciones interrumpidas","50%","50%","75%","01.12.2019","31.05.2020","Ramon, Silvia","23.05.2019 Ramon, Silvia (Phonecall): They have to decide when they're going to do the works","41.392597","2.165814"
"Aragón 299 / Roger Llúria","","Aragón 299 / Roger de Llúria","Barcelona","08009","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","196,476.00 €","185,000.00 €","204.00 €","68,086.00 €","39,239.00 €","B","25.02.2020","21.10.2020","Contrato firmado","100%","75%","100%","01.12.2020","31.03.2021","Ramon, Silvia","02.09.2020 Ramon, Silvia (Others): Sin licencia todavia","41.394672","2.167767"
"Aragón 538","","Aragón 538","Barcelona","08001","","Medianera","AXIS","Marta Cervelló","93-1054240","marta@axispatrimoni.com","38,624.94 €","25,000.00 €","2,352.94 €","58,102.82 €","55,075.82 €","C","06.05.2013","28.03.2014","Negociaciones interrumpidas","75%","75%","75%","01.04.2014","30.09.2014","Ramon, Silvia","","0.000000","0.000000"
"Aragón, 289","","Aragón, 289","Barcelona","08007","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","11.06.2008","14.02.2012","Negociaciones interrumpidas","","","","01.01.2009","30.04.2009","Morata, Rosi","","0.000000","0.000000"
"Arenal 21","","Arenal 21","Madrid","28003","Arenal 21","Medianera","","","","","202,733.25 €","180,000.00 €","14,472.00 €","128,252.10 €","55,164.90 €","A","22.04.2021","22.04.2021","Emplazamiento introducido","50%","50%","50%","01.03.2022","30.06.2022","Carranza, Laura","","0.000000","0.000000"
"Arenal 8","","Arenal 8","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","28.09.2015","15.11.2017","Perdido ante la competencia","50%","50%","50%","01.12.2015","29.02.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Argumosa, 1","","Argumosa, 1 con Plaza Lavapies","Madrid","28012","Argumosa, 1","Andamio","Jaime Campos","","914745349","aurora.austral.1965@gmail.com","139,510.00 €","125,000.00 €","11,860.00 €","105,520.00 €","43,668.47 €","A","12.04.2022","26.05.2022","Emplazamiento introducido","50%","50%","75%","01.09.2022","31.12.2022","Aumente, Alfonso","26.05.2022 Aumente, Alfonso (Others): El presidente de la comunidad me ha llamado para decirme que le gusta nuestra propuesta pero que la obra va para largo, probablemente para el año 2023. Seguiremos en contacto.","40.243082","3.420287"
"Aribau 149","","Aribau 149","Barcelona","08036","Carrer d´Aribau 149 ","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","11.04.2022","13.02.2023","Negociaciones interrumpidas","50%","50%","50%","02.01.2023","31.07.2023","Canela, Miguel","","41.000000","2.000000"
"Aribau 15","","Aribau 15","Barcelona","08014","","Andamio","FORCADELL","Núria Torres","934965400","n.torres@forcadell.com","158,330.82 €","125,000.00 €","22,058.82 €","58,147.00 €","8,295.00 €","C","28.09.2018","26.03.2019","Negociaciones interrumpidas","50%","50%","75%","01.05.2019","31.10.2019","Ramon, Silvia","26.03.2019 Ramon, Silvia (Dev Note): I reject it. With tres is not worth","41.386541","2.161510"
"Aribau 169","","Aribau 169","Barcelona","08036","","Andamio","","","","","234,572.00 €","200,000.00 €","23,300.00 €","270,996.00 €","95,656.00 €","A","28.02.2022","28.02.2022","Emplazamiento introducido","50%","50%","50%","01.09.2022","30.04.2023","Canela, Miguel","","41.000000","2.000000"
"Aribau 169","","Copy of Aribau 169","Barcelona","08036","","Andamio","","","","","234,572.00 €","200,000.00 €","23,300.00 €","632,324.00 €","205,508.00 €","A","28.02.2022","28.02.2022","Emplazamiento introducido","50%","50%","50%","01.09.2022","30.04.2023","Canela, Miguel","","41.000000","2.000000"
"Aribau 184","","Aribau 184","Barcelona","08036","Carrer de Aribau 184","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","01.04.2022","02.04.2022","Emplazamiento introducido","50%","50%","50%","01.09.2022","31.01.2023","Canela, Miguel","","41.000000","2.000000"
"Aribau 89 ","","Aribau 89","Barcelona","08001","Carrer d´Aribau 89","Andamio","JORDI CHARLES","JORDI CHARLES","649094409","jordicharles10@gmail.com","247,422.00 €","225,000.00 €","11,150.00 €","377,688.00 €","191,370.50 €","B","27.11.2020","31.10.2022","Contrato firmado","100%","100%","100%","01.01.2023","31.12.2023","Canela, Miguel","","0.000000","0.000000"
"Aribau 91","","Aribau 91","Barcelona","08037","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","06.11.2012","07.05.2018","Negociaciones interrumpidas","50%","50%","100%","01.09.2014","31.03.2015","Ramon, Silvia","","0.000000","0.000000"
"Av Catedral 5","","Av Catedral 5","Barcelona","08001","Avenida de la Catedral 5 ","Andamio","PRINCIPAL","FRANCISCO SOLER","93-4537254","fsoler@principalprimera.com","100,837.53 €","85,000.00 €","8,823.53 €","59,139.00 €","23,120.00 €","C","12.06.2015","30.07.2015","Contrato firmado","100%","50%","100%","01.07.2016","31.10.2016","Ramon, Silvia","","41.384787","2.175546"
"Av. Diagonal 420 / Bruc (Casa de les Punxes)","","Av. Diagonal 420 / Bruc (Casa de les Punxes)","Barcelona","08006","","Andamio","","","","","101,411.76 €","92,000.00 €","9,411.76 €","131,835.29 €","120,643.29 €","B","03.01.2012","03.01.2012","Contrato firmado","100%","","","01.01.2012","30.06.2012","Ramon, Silvia","","41.397971","2.164361"
"Av. Gaudí 2-4","","Av. Gaudí 2-4","Barcelona","","Av. Gaudí 2-4","Andamio","","","","","9,900.00 €","0.00 €","9,900.00 €","0.00 €","-1,300.00 €","","14.02.2006","02.05.2006","Negociaciones interrumpidas","","","","01.06.2006","30.09.2006","Morata, Rosi","","0.000000","0.000000"
"Av. Paralelo 186","","Paral.lel 186","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","15.02.2013","14.01.2014","Negociaciones interrumpidas","25%","25%","100%","01.05.2013","30.09.2013","Ramon, Silvia","","0.000000","0.000000"
"Av. Paralelo 204","","Av. Paralelo 204","Barcelona","","Av. Paralelo 204","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","","03.01.2006","26.07.2006","Perdido ante la competencia","","","","03.02.2006","30.06.2006","Morata, Rosi","","0.000000","0.000000"
"Av. Paralelo 21","","Av. Paralelo 15","Barcelona","","Av. Paralelo 15","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","","11.01.2006","01.02.2007","Perdido ante la competencia","","","","01.03.2006","31.08.2006","Morata, Rosi","","0.000000","0.000000"
"Av. Roma 152","","Avda Roma 152 / Aragón","Barcelona","08001","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","202,240.00 €","185,000.00 €","3,150.00 €","67,560.00 €","32,328.00 €","B","24.11.2020","15.12.2022","Perdido ante la competencia","50%","50%","50%","01.04.2022","30.09.2022","Canela, Miguel","","0.000000","0.000000"
"AV. Sarrià 21","","Av. Sarrià 21","Barcelona","08001","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","25.04.2014","07.05.2018","Negociaciones interrumpidas","50%","50%","100%","01.01.2015","30.04.2015","Ramon, Silvia","","0.000000","0.000000"
"Av. Sarrià 28","","Av. Sarrià 28","Barcelona","08021","","Medianera","","","","","98,000.00 €","70,000.00 €","28,000.00 €","63,700.00 €","49,820.00 €","C","10.01.2006","18.06.2012","Negociaciones interrumpidas","","","","01.06.2007","09.07.2007","Morata, Rosi","","0.000000","0.000000"
"Avda América 19","","Avda América 19","Madrid","28040","Avda América 19","Medianera","","","","","187,975.00 €","175,000.00 €","10,000.00 €","140,190.00 €","45,436.50 €","A","30.03.2022","30.03.2022","Emplazamiento introducido","50%","50%","50%","01.10.2022","31.03.2023","Carranza, Laura","","0.000000","0.000000"
"Avda. America, 16","","Avda. America, 16","Madrid","28028","Avda. America, 16","Andamio","","","","","193,300.00 €","175,000.00 €","13,800.00 €","155,600.00 €","79,103.90 €","A","24.07.2023","25.07.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","31.12.2023","Aumente, Alfonso","","40.261871","3.402988"
"Avda. America, 31","","Avda. America, 31","Madrid","28002","Avda. America, 31","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","05.07.2024","06.07.2024","Emplazamiento introducido","75%","50%","75%","01.10.2024","31.05.2025","Aumente, Alfonso","","0.000000","0.000000"
